Gender,Age,Membership Tenure,CUSSAT1,CUSSAT2,CUSSAT3,CUSSAT4,COASAT1,COASAT2,COASAT3,COASAT4,COASAT5,CLIM1,CLIM2,CLIM3,CLIM4,CLIM5,CLIM6,COND1,COND2,COND3,COND4,COND5,COND6
1,35,1,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,3,5
1,47,18,5,5,5,4,5,5,5,4,5,5,4,5,3,4,5,5,4,5,5,4,5
2,26,14,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5
2,21,24,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5
2,35,6,4,4,5,5,5,4,3,4,5,4,4,5,5,5,5,5,4,5,5,5,5
1,25,12,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
2,30,43,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,4,5
2,27,23,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,43,29,4,4,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,3,4
2,26,16,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,3,4,4,5,5,5
2,41,18,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5
2,32,15,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,3,5,5,4,4
2,25,7,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5
1,28,17,4,4,4,3,4,4,4,4,4,4,3,5,5,4,4,3,2,4,4,3,4
2,43,47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,25,9,4,5,4,4,5,4,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4
1,32,4,5,5,4,4,4,4,4,5,4,5,5,5,5,5,4,4,3,4,5,3,5
1,48,18,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,4,4,5,5,3,5
2,27,12,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,5,5,5,5
1,35,13,5,5,5,3,5,5,4,5,5,5,5,5,4,5,4,4,3,5,5,5,4
1,20,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
2,25,34,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,5,5,5
2,36,12,4,5,4,4,5,5,4,4,4,4,5,5,5,5,4,5,4,5,5,4,5
2,40,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,40,7,5,4,4,4,5,4,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5
1,30,1,3,3,5,4,5,4,5,5,5,2,3,2,2,1,2,4,5,5,5,4,5
2,47,3,5,4,5,5,5,5,5,5,5,3,4,4,4,3,3,4,5,5,5,1,3
2,39,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
2,20,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,28,14,4,5,5,4,5,5,4,5,5,5,5,5,5,4,3,5,4,5,5,5,5
2,37,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,26,16,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,3,5
2,27,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,40,55,5,4,5,5,5,4,4,4,5,5,5,4,5,5,5,4,5,5,5,4,5
2,53,23,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5
